,Side,Rank_type,Metric,Value
137,both,optimistic,adjusted_arithmetic_mean_rank,1.063888888888889
138,head,realistic,adjusted_arithmetic_mean_rank,1.066818964406465
139,tail,realistic,adjusted_arithmetic_mean_rank,1.061114137400931
140,both,realistic,adjusted_arithmetic_mean_rank,1.06388884862264
141,head,pessimistic,adjusted_arithmetic_mean_rank,1.0668189605939462
142,tail,pessimistic,adjusted_arithmetic_mean_rank,1.0611141157382369
143,both,pessimistic,adjusted_arithmetic_mean_rank,1.063888888888889
144,head,optimistic,inverse_harmonic_mean_rank,0.28737228774542206
145,tail,optimistic,inverse_harmonic_mean_rank,0.26659983189833936
146,both,optimistic,inverse_harmonic_mean_rank,0.2769860598218807
147,head,realistic,inverse_harmonic_mean_rank,0.28737229108810425
148,tail,realistic,inverse_harmonic_mean_rank,0.2665998339653015
149,both,realistic,inverse_harmonic_mean_rank,0.2769860625267029
150,head,pessimistic,inverse_harmonic_mean_rank,0.28737228774542206
151,tail,pessimistic,inverse_harmonic_mean_rank,0.26659983189833936
152,both,pessimistic,inverse_harmonic_mean_rank,0.2769860598218807
153,head,optimistic,inverse_median_rank,0.25
154,tail,optimistic,inverse_median_rank,0.25
155,both,optimistic,inverse_median_rank,0.25
156,head,realistic,inverse_median_rank,0.25
157,tail,realistic,inverse_median_rank,0.25
158,both,realistic,inverse_median_rank,0.25
159,head,pessimistic,inverse_median_rank,0.25
160,tail,pessimistic,inverse_median_rank,0.25
161,both,pessimistic,inverse_median_rank,0.25
162,head,optimistic,harmonic_mean_rank,3.4798066572302266
163,tail,optimistic,harmonic_mean_rank,3.7509400995471105
164,both,optimistic,harmonic_mean_rank,3.6102899930886863
165,head,realistic,harmonic_mean_rank,3.479806616753507
166,tail,realistic,harmonic_mean_rank,3.75094007046588
167,both,realistic,harmonic_mean_rank,3.6102899578335097
168,head,pessimistic,harmonic_mean_rank,3.4798066572302266
169,tail,pessimistic,harmonic_mean_rank,3.7509400995471105
170,both,pessimistic,harmonic_mean_rank,3.6102899930886863
171,head,optimistic,hits_at_1,0.0
172,tail,optimistic,hits_at_1,0.0
173,both,optimistic,hits_at_1,0.0
174,head,realistic,hits_at_1,0.0
175,tail,realistic,hits_at_1,0.0
176,both,realistic,hits_at_1,0.0
177,head,pessimistic,hits_at_1,0.0
178,tail,pessimistic,hits_at_1,0.0
179,both,pessimistic,hits_at_1,0.0
180,head,optimistic,hits_at_3,0.417910447761194
181,tail,optimistic,hits_at_3,0.373134328358209
182,both,optimistic,hits_at_3,0.39552238805970147
183,head,realistic,hits_at_3,0.417910447761194
184,tail,realistic,hits_at_3,0.373134328358209
185,both,realistic,hits_at_3,0.39552238805970147
186,head,pessimistic,hits_at_3,0.417910447761194
187,tail,pessimistic,hits_at_3,0.373134328358209
188,both,pessimistic,hits_at_3,0.39552238805970147
189,head,optimistic,hits_at_5,0.7014925373134329
190,tail,optimistic,hits_at_5,0.6517412935323383
191,both,optimistic,hits_at_5,0.6766169154228856
192,head,realistic,hits_at_5,0.7014925373134329
193,tail,realistic,hits_at_5,0.6517412935323383
194,both,realistic,hits_at_5,0.6766169154228856
195,head,pessimistic,hits_at_5,0.7014925373134329
196,tail,pessimistic,hits_at_5,0.6517412935323383
197,both,pessimistic,hits_at_5,0.6766169154228856
198,head,optimistic,hits_at_10,0.9502487562189055
199,tail,optimistic,hits_at_10,0.9651741293532339
200,both,optimistic,hits_at_10,0.9577114427860697
201,head,realistic,hits_at_10,0.9502487562189055
202,tail,realistic,hits_at_10,0.9651741293532339
203,both,realistic,hits_at_10,0.9577114427860697
204,head,pessimistic,hits_at_10,0.9502487562189055
205,tail,pessimistic,hits_at_10,0.9651741293532339
206,both,pessimistic,hits_at_10,0.9577114427860697
207,head,optimistic,z_hits_at_k,0.20573301084085927
208,tail,optimistic,z_hits_at_k,1.289735618811747
209,both,optimistic,z_hits_at_k,1.0598275080416215
210,head,realistic,z_hits_at_k,0.20573301084085927
211,tail,realistic,z_hits_at_k,1.289735618811747
212,both,realistic,z_hits_at_k,1.0598275080416215
213,head,pessimistic,z_hits_at_k,0.20573301084085927
214,tail,pessimistic,z_hits_at_k,1.289735618811747
215,both,pessimistic,z_hits_at_k,1.0598275080416215
216,head,optimistic,adjusted_hits_at_k,0.05598692276256756
217,tail,optimistic,adjusted_hits_at_k,0.3482971896265781
218,both,optimistic,adjusted_hits_at_k,0.20315609561939496
219,head,realistic,adjusted_hits_at_k,0.05598692276256756
220,tail,realistic,adjusted_hits_at_k,0.3482971896265781
221,both,realistic,adjusted_hits_at_k,0.20315609561939496
222,head,pessimistic,adjusted_hits_at_k,0.05598692276256756
223,tail,pessimistic,adjusted_hits_at_k,0.3482971896265781
224,both,pessimistic,adjusted_hits_at_k,0.20315609561939496
